STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
70261026411,2024-01-01,64.80309,-147.87606,131.1,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",-13.8,24,-20.8,24,1018.6,24,0.2,24,10.0,24,0.4,24,2.9,999.9,-2.9, ,-25.1, ,0.0,G,18.9,0
70261026411,2024-01-02,64.80309,-147.87606,131.1,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",-11.0,24,-17.5,24,1019.0,24,0.6,24,10.0,24,2.7,24,8.0,999.9,-2.9, ,-18.9, ,0.0,G,18.9,0
70261026411,2024-01-03,64.80309,-147.87606,131.1,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",-10.1,24,-16.6,24,1012.1,24,993.9,24,10.0,24,5.7,24,9.9,999.9,-2.0, ,-16.1, ,0.0,G,18.1,0
70261026411,2024-01-04,64.80309,-147.87606,131.1,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",0.5,24,-9.1,24,998.8,24,980.9,24,9.6,24,10.4,24,15.9,999.9,10.0, ,-17.0, ,0.0,G,18.1,1000
70261026411,2024-01-05,64.80309,-147.87606,131.1,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1.3,24,-7.0,24,1000.4,24,982.7,24,10.0,24,6.9,24,12.0,999.9,10.0, ,-13.0, ,0.0,G,18.1,0
70261026411,2024-01-06,64.80309,-147.87606,131.1,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",-13.1,24,-20.3,24,1014.0,24,995.8,24,10.0,24,1.2,24,7.0,999.9,3.9, ,-20.0, ,0.0,G,18.1,0
70261026411,2024-01-07,64.80309,-147.87606,131.1,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",-2.5,24,-9.6,24,1005.7,24,987.6,24,10.0,24,3.1,24,8.0,999.9,15.1, ,-20.0, ,0.0,G,18.1,0
70261026411,2024-01-08,64.80309,-147.87606,131.1,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",17.3,24,11.8,24,999.8,21,982.8,24,7.6,24,1.0,24,6.0,999.9,19.9,*,12.9,*,0.0,G,18.1,1000
70261026411,2024-01-09,64.80309,-147.87606,131.1,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",7.2,24,1.6,24,1011.2,20,993.3,24,7.5,24,1.3,24,4.1,999.9,19.9, ,1.0, ,0.04,G,18.1,1000
70261026411,2024-01-10,64.80309,-147.87606,131.1,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",-3.3,24,-9.3,24,1025.0,24,6.8,24,8.3,24,2.5,24,8.0,999.9,10.0, ,-16.1, ,0.0,G,18.9,1000
70261026411,2024-01-11,64.80309,-147.87606,131.1,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",-14.1,24,-20.8,24,1025.8,24,7.4,24,10.0,24,5.0,24,8.9,999.9,3.9, ,-23.1, ,0.0,G,18.9,0
70261026411,2024-01-12,64.80309,-147.87606,131.1,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",-9.1,24,-15.9,24,1018.3,24,0.0,24,10.0,24,0.4,24,2.9,999.9,-0.9, ,-23.1, ,0.0,G,18.9,0
70261026411,2024-01-13,64.80309,-147.87606,131.1,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",-13.1,24,-19.6,24,1015.5,24,997.2,24,10.0,24,0.8,24,4.1,999.9,-6.0, ,-20.9, ,0.0,G,18.9,0
70261026411,2024-01-14,64.80309,-147.87606,131.1,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",-1.3,24,-9.0,24,1008.6,19,990.9,24,6.7,24,2.8,24,6.0,999.9,6.8,*,-11.9,*,0.0,G,18.9,101000
70261026411,2024-01-15,64.80309,-147.87606,131.1,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",7.2,24,1.2,24,1025.8,19,6.4,24,6.5,24,2.2,24,5.1,999.9,10.4,*,-0.9,*,0.15,G,18.9,1000
